timestamp,date,global_rank,search_term,total_traffic,country_code,country_name,country_traffic
2026-04-22 22:12:23,2026-04-22,1,where to watch fc barcelona vs celta vigo,20000,US,United States,10000
2026-04-22 22:12:23,2026-04-22,1,where to watch fc barcelona vs celta vigo,20000,IN,India,10000
2026-04-22 22:12:23,2026-04-22,2,clasificación liga,20000,ES,Spain,20000
2026-04-22 22:12:23,2026-04-22,3,psg 대 낭트,10000,KR,South Korea,10000
2026-04-22 22:12:23,2026-04-22,4,tempat menonton barcelona vs celta,10000,ID,Indonesia,10000
2026-04-22 22:12:23,2026-04-22,5,city,6300,US,United States,2000
2026-04-22 22:12:23,2026-04-22,5,city,6300,ID,Indonesia,2000
2026-04-22 22:12:23,2026-04-22,5,city,6300,MX,Mexico,1000
2026-04-22 22:12:23,2026-04-22,5,city,6300,ES,Spain,500
2026-04-22 22:12:23,2026-04-22,5,city,6300,PL,Poland,500
2026-04-22 22:12:23,2026-04-22,5,city,6300,IN,India,200
2026-04-22 22:12:23,2026-04-22,5,city,6300,SE,Sweden,100
2026-04-22 22:12:23,2026-04-22,6,lotto results tonight,5000,GB,United Kingdom,5000
2026-04-22 22:12:23,2026-04-22,7,barca celta vigo,5000,FR,France,5000
2026-04-22 22:12:23,2026-04-22,8,ポケモンgo,5000,JP,Japan,5000
2026-04-22 22:12:23,2026-04-22,9,michael jackson biopic movie,5000,AU,Australia,5000
2026-04-22 22:12:23,2026-04-22,10,porto – sporting cp,5000,PL,Poland,5000
2026-04-22 22:53:03,2026-04-22,1,laliga,10000,US,United States,10000
2026-04-22 22:53:03,2026-04-22,2,ashley roberts,10000,GB,United Kingdom,10000
2026-04-22 22:53:03,2026-04-22,3,michael jackson,10000,GB,United Kingdom,10000
2026-04-22 22:53:03,2026-04-22,4,micron share price,10000,IN,India,10000
2026-04-22 22:53:03,2026-04-22,5,tempat menonton barcelona vs celta,10000,ID,Indonesia,10000
2026-04-22 22:53:03,2026-04-22,6,sözcü,10000,TR,Turkey,10000
2026-04-22 22:53:03,2026-04-22,7,prezydent,10000,PL,Poland,10000
2026-04-22 22:53:03,2026-04-22,8,city,2600,ID,Indonesia,2000
2026-04-22 22:53:03,2026-04-22,8,city,2600,TR,Turkey,500
2026-04-22 22:53:03,2026-04-22,8,city,2600,SE,Sweden,100
2026-04-22 22:53:03,2026-04-22,9,darrell sheets,2500,AU,Australia,2000
2026-04-22 22:53:03,2026-04-22,9,darrell sheets,2500,FR,France,200
2026-04-22 22:53:03,2026-04-22,9,darrell sheets,2500,NL,Netherlands,200
2026-04-22 22:53:03,2026-04-22,9,darrell sheets,2500,DE,Germany,100
2026-04-22 22:53:03,2026-04-22,10,lamine yamal,2400,US,United States,2000
2026-04-22 22:53:03,2026-04-22,10,lamine yamal,2400,IN,India,200
2026-04-22 22:53:03,2026-04-22,10,lamine yamal,2400,NL,Netherlands,200
2026-04-22 22:54:46,2026-04-22,1,sözcü,20000,TR,Turkey,20000
2026-04-22 22:54:46,2026-04-22,2,laliga,10000,US,United States,10000
2026-04-22 22:54:46,2026-04-22,3,ashley roberts,10000,GB,United Kingdom,10000
2026-04-22 22:54:46,2026-04-22,4,michael jackson,10000,GB,United Kingdom,10000
2026-04-22 22:54:46,2026-04-22,5,micron share price,10000,IN,India,10000
2026-04-22 22:54:46,2026-04-22,6,tempat menonton barcelona vs celta,10000,ID,Indonesia,10000
2026-04-22 22:54:46,2026-04-22,7,prezydent,10000,PL,Poland,10000
2026-04-22 22:54:46,2026-04-22,8,massimo dell utri nuovo sottosegretario,5000,IT,Italy,5000
2026-04-22 22:54:46,2026-04-22,9,city,2600,ID,Indonesia,2000
2026-04-22 22:54:46,2026-04-22,9,city,2600,TR,Turkey,500
2026-04-22 22:54:46,2026-04-22,9,city,2600,SE,Sweden,100
2026-04-22 22:54:46,2026-04-22,10,darrell sheets,2500,AU,Australia,2000
2026-04-22 22:54:46,2026-04-22,10,darrell sheets,2500,FR,France,200
2026-04-22 22:54:46,2026-04-22,10,darrell sheets,2500,NL,Netherlands,200
2026-04-22 22:54:46,2026-04-22,10,darrell sheets,2500,DE,Germany,100
2026-04-23 08:45:52,2026-04-23,1,olivier minne,20000,FR,France,20000
2026-04-23 08:45:52,2026-04-23,2,inter miami,10000,AR,Argentina,10000
2026-04-23 08:45:52,2026-04-23,3,ssc result,5000,IN,India,5000
2026-04-23 08:45:52,2026-04-23,4,gıda,5000,TR,Turkey,5000
2026-04-23 08:45:52,2026-04-23,5,izmir hava durumu,5000,TR,Turkey,5000
2026-04-23 08:45:52,2026-04-23,6,metro utrudnienia,5000,PL,Poland,5000
2026-04-23 08:45:52,2026-04-23,7,अटल पेंशन योजना,2000,IN,India,2000
2026-04-23 08:45:52,2026-04-23,8,bmw f 450 gs,2000,IN,India,2000
2026-04-23 08:45:52,2026-04-23,9,parti républicain,2000,FR,France,2000
2026-04-23 08:45:52,2026-04-23,10,pluies etoiles filantes,2000,FR,France,2000
2026-04-23 09:04:04,2026-04-23,1,metro utrudnienia,5000,PL,Poland,5000
2026-04-23 09:04:04,2026-04-23,2,inter miami,5000,AR,Argentina,5000
